[2026-08-04T17:22:44.309620+00:00] 🚀 Initializing Async gRPC Streamer (Signal Handler Active)
[2026-08-04T17:22:44.309741+00:00]    Target: 127.0.0.1:50051 | Max FPS: 60.0 | Log File: /data/data/com.termux/files/home/Tordial-GS-_Manifold/Jiggler/telemetry.log
[2026-08-04T17:23:16.664854+00:00] 📊 [NOMINAL  ] [Batch #001794] FPS:  54.3 /  60.0 target | SIMD: 2.71ms (369.53 M/s) | Payload:  1.43 KB/s
[2026-08-04T17:23:17.674489+00:00] 📊 [NOMINAL  ] [Batch #001850] FPS:  55.5 /  60.0 target | SIMD: 2.42ms (413.08 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:23:18.677823+00:00] 📊 [NOMINAL  ] [Batch #001905] FPS:  54.8 /  60.0 target | SIMD: 3.15ms (317.16 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:23:19.677999+00:00] 📊 [NOMINAL  ] [Batch #001961] FPS:  56.0 /  60.0 target | SIMD: 2.48ms (403.86 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:23:20.679466+00:00] 📊 [NOMINAL  ] [Batch #002017] FPS:  55.9 /  60.0 target | SIMD: 1.77ms (565.91 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:23:21.694100+00:00] 📊 [NOMINAL  ] [Batch #002073] FPS:  55.2 /  60.0 target | SIMD: 2.70ms (370.91 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:23:22.696120+00:00] 📊 [NOMINAL  ] [Batch #002127] FPS:  53.9 /  60.0 target | SIMD: 4.66ms (214.52 M/s) | Payload:  1.42 KB/s
[2026-08-04T17:23:23.702845+00:00] 📊 [NOMINAL  ] [Batch #002182] FPS:  54.6 /  60.0 target | SIMD: 3.41ms (293.62 M/s) | Payload:  1.44 KB/s
[2026-08-04T17:23:24.717392+00:00] 📊 [NOMINAL  ] [Batch #002237] FPS:  54.2 /  60.0 target | SIMD: 4.47ms (223.89 M/s) | Payload:  1.43 KB/s
[2026-08-04T17:23:25.724172+00:00] 📊 [NOMINAL  ] [Batch #002293] FPS:  55.6 /  60.0 target | SIMD: 3.43ms (291.32 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:23:26.737761+00:00] 📊 [NOMINAL  ] [Batch #002349] FPS:  55.3 /  60.0 target | SIMD: 3.82ms (262.00 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:23:27.740352+00:00] 📊 [NOMINAL  ] [Batch #002404] FPS:  54.9 /  60.0 target | SIMD: 3.34ms (299.17 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:23:28.752110+00:00] 📊 [NOMINAL  ] [Batch #002459] FPS:  54.4 /  60.0 target | SIMD: 3.23ms (309.33 M/s) | Payload:  1.43 KB/s
[2026-08-04T17:23:29.763483+00:00] 📊 [NOMINAL  ] [Batch #002514] FPS:  54.4 /  60.0 target | SIMD: 2.94ms (339.75 M/s) | Payload:  1.43 KB/s
[2026-08-04T17:23:30.767843+00:00] 📊 [NOMINAL  ] [Batch #002568] FPS:  53.8 /  60.0 target | SIMD: 4.09ms (244.74 M/s) | Payload:  1.42 KB/s
[2026-08-04T17:23:31.768072+00:00] 📊 [NOMINAL  ] [Batch #002623] FPS:  55.0 /  60.0 target | SIMD: 2.92ms (342.06 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:23:32.778571+00:00] 📊 [NOMINAL  ] [Batch #002680] FPS:  56.4 /  60.0 target | SIMD: 1.80ms (555.11 M/s) | Payload:  1.49 KB/s
[2026-08-04T17:23:33.785042+00:00] 📊 [NOMINAL  ] [Batch #002736] FPS:  55.6 /  60.0 target | SIMD: 2.25ms (444.90 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:23:34.796243+00:00] 📊 [NOMINAL  ] [Batch #002793] FPS:  56.4 /  60.0 target | SIMD: 1.63ms (612.00 M/s) | Payload:  1.49 KB/s
[2026-08-04T17:23:35.807100+00:00] 📊 [NOMINAL  ] [Batch #002850] FPS:  56.4 /  60.0 target | SIMD: 1.57ms (636.29 M/s) | Payload:  1.49 KB/s
[2026-08-04T17:23:36.808071+00:00] 📊 [NOMINAL  ] [Batch #002906] FPS:  55.9 /  60.0 target | SIMD: 2.00ms (500.33 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:23:37.821875+00:00] 📊 [NOMINAL  ] [Batch #002963] FPS:  56.2 /  60.0 target | SIMD: 2.06ms (485.24 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:23:38.821955+00:00] 📊 [NOMINAL  ] [Batch #003019] FPS:  56.0 /  60.0 target | SIMD: 2.37ms (421.41 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:23:39.841327+00:00] 📊 [NOMINAL  ] [Batch #003076] FPS:  55.9 /  60.0 target | SIMD: 2.38ms (419.54 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:23:40.846184+00:00] 📊 [NOMINAL  ] [Batch #003132] FPS:  55.7 /  60.0 target | SIMD: 2.47ms (404.12 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:23:41.846956+00:00] 📊 [NOMINAL  ] [Batch #003188] FPS:  56.0 /  60.0 target | SIMD: 2.41ms (414.32 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:23:42.864125+00:00] 📊 [NOMINAL  ] [Batch #003244] FPS:  55.1 /  60.0 target | SIMD: 3.15ms (317.55 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:23:43.880518+00:00] 📊 [NOMINAL  ] [Batch #003301] FPS:  56.1 /  60.0 target | SIMD: 2.52ms (396.23 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:23:44.894473+00:00] 📊 [NOMINAL  ] [Batch #003357] FPS:  55.2 /  60.0 target | SIMD: 3.14ms (318.27 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:23:45.895837+00:00] 📊 [NOMINAL  ] [Batch #003413] FPS:  55.9 /  60.0 target | SIMD: 2.09ms (479.28 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:23:46.904797+00:00] 📊 [NOMINAL  ] [Batch #003469] FPS:  55.5 /  60.0 target | SIMD: 2.53ms (395.38 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:23:47.916126+00:00] 📊 [NOMINAL  ] [Batch #003525] FPS:  55.4 /  60.0 target | SIMD: 2.32ms (431.24 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:23:48.936757+00:00] 📊 [NOMINAL  ] [Batch #003581] FPS:  54.9 /  60.0 target | SIMD: 3.21ms (311.91 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:23:49.940163+00:00] 📊 [NOMINAL  ] [Batch #003637] FPS:  55.8 /  60.0 target | SIMD: 2.42ms (412.81 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:23:50.941551+00:00] 📊 [NOMINAL  ] [Batch #003693] FPS:  55.9 /  60.0 target | SIMD: 2.89ms (346.49 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:23:51.947959+00:00] 📊 [NOMINAL  ] [Batch #003749] FPS:  55.6 /  60.0 target | SIMD: 2.56ms (389.99 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:23:52.956416+00:00] 📊 [NOMINAL  ] [Batch #003806] FPS:  56.5 /  60.0 target | SIMD: 1.46ms (683.52 M/s) | Payload:  1.49 KB/s
[2026-08-04T17:23:53.971478+00:00] 📊 [NOMINAL  ] [Batch #003863] FPS:  56.2 /  60.0 target | SIMD: 2.27ms (439.80 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:23:54.984256+00:00] 📊 [NOMINAL  ] [Batch #003920] FPS:  56.3 /  60.0 target | SIMD: 1.67ms (599.62 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:23:55.993657+00:00] 📊 [NOMINAL  ] [Batch #003977] FPS:  56.5 /  60.0 target | SIMD: 1.63ms (614.32 M/s) | Payload:  1.49 KB/s
[2026-08-04T17:23:57.008251+00:00] 📊 [NOMINAL  ] [Batch #004034] FPS:  56.2 /  60.0 target | SIMD: 1.61ms (620.00 M/s) | Payload:  1.48 KB/s
[2026-08-04T17:23:58.010897+00:00] 📊 [NOMINAL  ] [Batch #004089] FPS:  54.9 /  60.0 target | SIMD: 3.48ms (287.48 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:23:59.016371+00:00] 📊 [NOMINAL  ] [Batch #004144] FPS:  54.7 /  60.0 target | SIMD: 5.43ms (184.17 M/s) | Payload:  1.44 KB/s
[2026-08-04T17:24:00.028082+00:00] 📊 [NOMINAL  ] [Batch #004200] FPS:  55.4 /  60.0 target | SIMD: 3.60ms (277.89 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:01.033156+00:00] 📊 [NOMINAL  ] [Batch #004255] FPS:  54.7 /  60.0 target | SIMD: 4.17ms (239.53 M/s) | Payload:  1.44 KB/s
[2026-08-04T17:24:02.048834+00:00] 📊 [NOMINAL  ] [Batch #004311] FPS:  55.1 /  60.0 target | SIMD: 4.28ms (233.56 M/s) | Payload:  1.45 KB/s
[2026-08-04T17:24:03.064140+00:00] 📊 [NOMINAL  ] [Batch #004366] FPS:  54.2 /  60.0 target | SIMD: 4.15ms (241.13 M/s) | Payload:  1.43 KB/s
[2026-08-04T17:24:04.080127+00:00] 📊 [NOMINAL  ] [Batch #004421] FPS:  54.1 /  60.0 target | SIMD: 5.23ms (191.09 M/s) | Payload:  1.43 KB/s
[2026-08-04T17:24:05.087060+00:00] 📊 [NOMINAL  ] [Batch #004477] FPS:  55.6 /  60.0 target | SIMD: 2.83ms (353.92 M/s) | Payload:  1.47 KB/s
[2026-08-04T17:24:06.095407+00:00] 📊 [NOMINAL  ] [Batch #004533] FPS:  55.5 /  60.0 target | SIMD: 2.86ms (350.21 M/s) | Payload:  1.46 KB/s
[2026-08-04T17:24:07.101029+00:00] 📊 [NOMINAL  ] [Batch #004588] FPS:  54.7 /  60.0 target | SIMD: 3.77ms (265.16 M/s) | Payload:  1.44 KB/s
[2026-08-04T17:24:08.107367+00:00] 📊 [NOMINAL  ] [Batch #004643] FPS:  54.7 /  60.0 target | SIMD: 3.09ms (323.11 M/s) | Payload:  1.44 KB/s
[2026-08-04T17:24:09.119450+00:00] 📊 [NOMINAL  ] [Batch #004698] FPS:  54.3 /  60.0 target | SIMD: 3.42ms (292.38 M/s) | Payload:  1.43 KB/s
